load_zone,stage_id,timepoint,load_mw
MSEDCL,1,20300291,25420.61353
MSEDCL,1,20300292,25344.00912
MSEDCL,1,20300293,26013.68719
MSEDCL,1,20300294,27384.13256
MSEDCL,1,20300295,29366.98792
MSEDCL,1,20300296,31144.77364
MSEDCL,1,20300297,32228.59051
MSEDCL,1,20300298,33234.83263
MSEDCL,1,20300299,34894.71623
MSEDCL,1,20300300,36204.434
MSEDCL,1,20300301,36295.01288
MSEDCL,1,20300302,36367.98555
MSEDCL,1,20300303,36828.93165
MSEDCL,1,20300304,36364.99574
MSEDCL,1,20300305,33455.53607
MSEDCL,1,20300306,30291.45836
MSEDCL,1,20300307,29556.64128
MSEDCL,1,20300308,29882.49992
MSEDCL,1,20300309,29722.80582
MSEDCL,1,20300310,29387.55479
MSEDCL,1,20300311,28184.56281
MSEDCL,1,20300312,27184.49711
MSEDCL,1,20300313,26923.29138
MSEDCL,1,20300314,26485.40952
MSEDCL,1,20300315,26111.0836
MSEDCL,1,20300316,26032.91405
MSEDCL,1,20300317,26713.86947
MSEDCL,1,20300318,28144.37928
MSEDCL,1,20300319,30243.69003
MSEDCL,1,20300320,31991.442
MSEDCL,1,20300321,33420.28
MSEDCL,1,20300322,34667.49132
MSEDCL,1,20300323,35923.86251
MSEDCL,1,20300324,36585.51216
MSEDCL,1,20300325,36539.37297
MSEDCL,1,20300326,36553.47575
MSEDCL,1,20300327,36528.77579
MSEDCL,1,20300328,35630.62275
MSEDCL,1,20300329,32791.63693
MSEDCL,1,20300330,29878.68809
MSEDCL,1,20300331,29170.87609
MSEDCL,1,20300332,29618.31339
MSEDCL,1,20300333,29019.75854
MSEDCL,1,20300334,28272.46947
MSEDCL,1,20300335,27476.02067
MSEDCL,1,20300336,26671.66303
MSEDCL,1,20300337,26247.43939
MSEDCL,1,20300338,25769.70311
MSEDCL,1,20300339,25503.41524
MSEDCL,1,20300340,25518.61882
MSEDCL,1,20300341,26206.72856
MSEDCL,1,20300342,27739.61141
MSEDCL,1,20300343,29786.7529
MSEDCL,1,20300344,31295.86186
MSEDCL,1,20300345,33173.02657
MSEDCL,1,20300346,35019.56477
MSEDCL,1,20300347,36262.48665
MSEDCL,1,20300348,36687.60038
MSEDCL,1,20300349,36528.51383
MSEDCL,1,20300350,36736.69581
MSEDCL,1,20300351,36848.02352
MSEDCL,1,20300352,35630.74937
MSEDCL,1,20300353,32724.08534
